# remap GRCh37 contig names to hg19
# bam	ref
MT	chrM
1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
1_gl000191_random	chr1_gl000191_random
1_gl000192_random	chr1_gl000192_random
4_ctg9_hap1	chr4_ctg9_hap1
4_gl000193_random	chr4_gl000193_random
4_gl000194_random	chr4_gl000194_random
6_apd_hap1	chr6_apd_hap1
6_cox_hap2	chr6_cox_hap2
6_dbb_hap3	chr6_dbb_hap3
6_mann_hap4	chr6_mann_hap4
6_mcf_hap5	chr6_mcf_hap5
6_qbl_hap6	chr6_qbl_hap6
6_ssto_hap7	chr6_ssto_hap7
7_gl000195_random	chr7_gl000195_random
8_gl000196_random	chr8_gl000196_random
8_gl000197_random	chr8_gl000197_random
9_gl000198_random	chr9_gl000198_random
9_gl000199_random	chr9_gl000199_random
9_gl000200_random	chr9_gl000200_random
9_gl000201_random	chr9_gl000201_random
11_gl000202_random	chr11_gl000202_random
17_ctg5_hap1	chr17_ctg5_hap1
17_gl000203_random	chr17_gl000203_random
17_gl000204_random	chr17_gl000204_random
17_gl000205_random	chr17_gl000205_random
17_gl000206_random	chr17_gl000206_random
18_gl000207_random	chr18_gl000207_random
19_gl000208_random	chr19_gl000208_random
19_gl000209_random	chr19_gl000209_random
21_gl000210_random	chr21_gl000210_random
Un_gl000211	chrUn_gl000211
Un_gl000212	chrUn_gl000212
Un_gl000213	chrUn_gl000213
Un_gl000214	chrUn_gl000214
Un_gl000215	chrUn_gl000215
Un_gl000216	chrUn_gl000216
Un_gl000217	chrUn_gl000217
Un_gl000218	chrUn_gl000218
Un_gl000219	chrUn_gl000219
Un_gl000220	chrUn_gl000220
Un_gl000221	chrUn_gl000221
Un_gl000222	chrUn_gl000222
Un_gl000223	chrUn_gl000223
Un_gl000224	chrUn_gl000224
Un_gl000225	chrUn_gl000225
Un_gl000226	chrUn_gl000226
Un_gl000227	chrUn_gl000227
Un_gl000228	chrUn_gl000228
Un_gl000229	chrUn_gl000229
Un_gl000230	chrUn_gl000230
Un_gl000231	chrUn_gl000231
Un_gl000232	chrUn_gl000232
Un_gl000233	chrUn_gl000233
Un_gl000234	chrUn_gl000234
Un_gl000235	chrUn_gl000235
Un_gl000236	chrUn_gl000236
Un_gl000237	chrUn_gl000237
Un_gl000238	chrUn_gl000238
Un_gl000239	chrUn_gl000239
Un_gl000240	chrUn_gl000240
Un_gl000241	chrUn_gl000241
Un_gl000242	chrUn_gl000242
Un_gl000243	chrUn_gl000243
Un_gl000244	chrUn_gl000244
Un_gl000245	chrUn_gl000245
Un_gl000246	chrUn_gl000246
Un_gl000247	chrUn_gl000247
Un_gl000248	chrUn_gl000248
Un_gl000249	chrUn_gl000249
