# remap hg19 contig names to GRCh37
# bam	ref
chrM	MT
chr1	1
chr2	2
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr20	20
chr21	21
chr22	22
chrX	X
chrY	Y
chr1_gl000191_random	1_gl000191_random
chr1_gl000192_random	1_gl000192_random
chr4_ctg9_hap1	4_ctg9_hap1
chr4_gl000193_random	4_gl000193_random
chr4_gl000194_random	4_gl000194_random
chr6_apd_hap1	6_apd_hap1
chr6_cox_hap2	6_cox_hap2
chr6_dbb_hap3	6_dbb_hap3
chr6_mann_hap4	6_mann_hap4
chr6_mcf_hap5	6_mcf_hap5
chr6_qbl_hap6	6_qbl_hap6
chr6_ssto_hap7	6_ssto_hap7
chr7_gl000195_random	7_gl000195_random
chr8_gl000196_random	8_gl000196_random
chr8_gl000197_random	8_gl000197_random
chr9_gl000198_random	9_gl000198_random
chr9_gl000199_random	9_gl000199_random
chr9_gl000200_random	9_gl000200_random
chr9_gl000201_random	9_gl000201_random
chr11_gl000202_random	11_gl000202_random
chr17_ctg5_hap1	17_ctg5_hap1
chr17_gl000203_random	17_gl000203_random
chr17_gl000204_random	17_gl000204_random
chr17_gl000205_random	17_gl000205_random
chr17_gl000206_random	17_gl000206_random
chr18_gl000207_random	18_gl000207_random
chr19_gl000208_random	19_gl000208_random
chr19_gl000209_random	19_gl000209_random
chr21_gl000210_random	21_gl000210_random
chrUn_gl000211	Un_gl000211
chrUn_gl000212	Un_gl000212
chrUn_gl000213	Un_gl000213
chrUn_gl000214	Un_gl000214
chrUn_gl000215	Un_gl000215
chrUn_gl000216	Un_gl000216
chrUn_gl000217	Un_gl000217
chrUn_gl000218	Un_gl000218
chrUn_gl000219	Un_gl000219
chrUn_gl000220	Un_gl000220
chrUn_gl000221	Un_gl000221
chrUn_gl000222	Un_gl000222
chrUn_gl000223	Un_gl000223
chrUn_gl000224	Un_gl000224
chrUn_gl000225	Un_gl000225
chrUn_gl000226	Un_gl000226
chrUn_gl000227	Un_gl000227
chrUn_gl000228	Un_gl000228
chrUn_gl000229	Un_gl000229
chrUn_gl000230	Un_gl000230
chrUn_gl000231	Un_gl000231
chrUn_gl000232	Un_gl000232
chrUn_gl000233	Un_gl000233
chrUn_gl000234	Un_gl000234
chrUn_gl000235	Un_gl000235
chrUn_gl000236	Un_gl000236
chrUn_gl000237	Un_gl000237
chrUn_gl000238	Un_gl000238
chrUn_gl000239	Un_gl000239
chrUn_gl000240	Un_gl000240
chrUn_gl000241	Un_gl000241
chrUn_gl000242	Un_gl000242
chrUn_gl000243	Un_gl000243
chrUn_gl000244	Un_gl000244
chrUn_gl000245	Un_gl000245
chrUn_gl000246	Un_gl000246
chrUn_gl000247	Un_gl000247
chrUn_gl000248	Un_gl000248
chrUn_gl000249	Un_gl000249
